код;внешний код;наименование МС;Название WB (соберём);бренды ТК
2980cs;2980;Картридж лазерный CopyRite CR-XE106R03746Y 106R03746 желтый (16500стр.) для Xerox VersaLink C7020/C7025/C7030;Картридж 106R03746Y для Xerox желтый;Xerox
2981cs;2981;Картридж лазерный CopyRite CR-XE106R03747M 106R03747 пурпурный (16500стр.) для Xerox VL C7020/C7025/C7030;Картридж 106R03747M для Xerox пурпурный;Xerox
2982cs;2982;Картридж лазерный CopyRite CR-XE106R03748C 106R03748 голубой (16500стр.) для Xerox VL C7020/C7025/C7030;Картридж 106R03748C для Xerox голубой;Xerox
;2988;Совместимый картридж NVP SP330H;Картридж SP330H для Ricoh 408281 черный;Ricoh
;2988;Совместимый картридж Cactus SP330H;Картридж SP330H для Ricoh 408281 черный;Ricoh
3026-or;3026;Картридж 006R01693 BK OR;Картридж 006R01693 для Xerox черный;Xerox
3026cs;3026;Картридж лазерный CopyRite CR-XE006R01693K 006R01693 черный (9000стр.) для Xerox DC SC2020;Картридж 006R01693 для Xerox черный;Xerox
3027-or;3027;Картридж 006R01694 C OR;Картридж 006R01694 для Xerox голубой;Xerox
3028-or;3028;Картридж 006R01695 M OR;Картридж 006R01695 для Xerox пурпурный;Xerox
3028cs;3028;Картридж лазерный CopyRite CR-XE006R01695M 006R01695 пурпурный (3000стр.) для Xerox DC SC2020;Картридж 006R01695 для Xerox пурпурный;Xerox
3029-or;3029;Картридж 006R01696 Y OR;Картридж 006R01696 для Xerox желтый;Xerox
3029cs;3029;Картридж лазерный CopyRite CR-XE006R01696Y 006R01696 желтый (3000стр.) для Xerox DC SC2020;Картридж 006R01696 для Xerox желтый;Xerox
;3030;Набор совместимых картриджей Colortek 006R01693-006R01696;Набор картриджей 006R01693-006R01696 для Xerox;Xerox
3032cs;3032;Картридж лазерный G&G GG-TK3060 TK3060 черный (14500стр.) для Kyocera ECOSYS M3145idn/M3645idn;Картридж TK-3060 для Kyocera черный;Kyocera
3054cs;3054;Картридж лазерный G&G GG-CF244X черный (2000стр.) для HP LJ M15 Pro/M15a Pro/M28a Pro MFP/M28w Pro MFP;Картридж CF244X для HP 44X черный с чипом XL ресурс;HP
3060cs;3060;Картридж лазерный G&G GG-TK5290BK TK5290BK черный (17000стр.) для Kyocera ECOSYS P7240cdn;Картридж TK-5290BK для Kyocera черный;Kyocera
3060cs;3060;Картридж лазерный CopyRite CR-KYTK5290K TK-5290K черный (17000стр.) для Kyocera P7240cdn;Картридж TK-5290BK для Kyocera черный;Kyocera
3061cs;3061;Картридж лазерный G&G GG-TK5290C TK5290C голубой (13000стр.) для Kyocera ECOSYS P7240cdn;Картридж TK-5290C для Kyocera голубой;Kyocera
3061cs;3061;Картридж лазерный CopyRite CR-KYTK5290C TK-5290C голубой (13000стр.) для Kyocera P7240cdn;Картридж TK-5290C для Kyocera голубой;Kyocera
3062cs;3062;Картридж лазерный CopyRite CR-KYTK5290M TK-5290M пурпурный (13000стр.) для Kyocera P7240cdn;Картридж TK-5290M для Kyocera пурпурный;Kyocera
3063cs;3063;Картридж лазерный CopyRite CR-KYTK5290Y TK-5290Y желтый (13000стр.) для Kyocera P7240cdn;Картридж TK-5290Y для Kyocera желтый;Kyocera
3065cs;3065;Картридж струйный G&G GG-C13T945140 T9451 черный (90мл) для Epson WorkForce Pro WF-C5290DW/C5790DW;Картридж T9451 BK для Epson C13T945140 черный;Epson
3066cs;3066;Картридж струйный G&G GG-C13T945240 Т9452 голубой (66мл) для Epson WorkForce Pro WF-C5290DW/C5790DW;Картридж T9452 C для Epson C13T945240 голубой;Epson
3067cs;3067;Картридж струйный G&G GG-C13T945340 Т9453 пурпурный (66мл) для Epson WorkForce Pro WF-C5290DW/C5790DW;Картридж T9453 M для Epson C13T945340 пурпурный;Epson
3068cs;3068;Картридж струйный G&G GG-C13T945440 Т9454 желтый (66мл) для Epson WorkForce Pro WF-C5290DW/C5790DW;Картридж T9454 Y для Epson C13T945440 желтый;Epson
3070cs;3070;Картридж струйный G&G GG-C13T946140 T9461 черный (180мл) для Epson WorkForce Pro WF-C5290DW/C5790DW;Картридж T9461 BK для Epson C13T946140 черный;Epson
3074bt;3074;Струйный картридж HP DesignJet T730/T830 728 (F9J68A) Matte Black (300мл) pigment;Картридж 728XL для HP F9J68A черный матовый с чипом;HP
3076cs;3076;Картридж струйный G&G №727 GG-B3P22A черный матовый (130мл) для HP DJ T920/T1500/T2530;Картридж 727 для HP B3P22A черный матовый;HP
;3083;Совместимый картридж Cactus CS-903 BK;Картридж 903XL для HP T6M15AE черный с чипом XL ресурс;HP
3149cs;3149;Картридж лазерный Print-Rite TFB684CPU1J PR-TN241C TN-241C голубой (1400стр.) для Brother HL-3170CDW;Картридж TN-241C для Brother голубой;Brother
;3150;Совместимый картридж Colortek TN-241M;Картридж TN-241M для Brother пурпурный;Brother
;3150;Совместимый картридж Cactus CS-TN-241M;Картридж TN-241M для Brother пурпурный;Brother
3150cs;3150;Картридж лазерный Print-Rite TFB685MPU1J PR-TN241M TN-241M пурпурный (1400стр.) для Brother HL-3170CDW;Картридж TN-241M для Brother пурпурный;Brother
;3151;Совместимый картридж Colortek TN-241Y;Картридж TN-241Y для Brother желтый;Brother
;3151;Совместимый картридж Cactus CS-TN-241Y;Картридж TN-241Y для Brother желтый;Brother
3151cs;3151;Картридж лазерный Print-Rite TFB686YPU1J PR-TN241Y TN-241Y желтый (1400стр.) для Brother HL-3170CDW;Картридж TN-241Y для Brother желтый;Brother
3172cs;3172;Картридж лазерный CopyRite CR-CAEXV54K C-EXV54 черный (15500стр.) для Canon iR Adv C3025/C3025i;Картридж C-EXV54BK для Canon 1394C002 черный;Canon
3173cs;3173;Картридж лазерный CopyRite CR-CAEXV54C C-EXV54 голубой (8500стр.) для Canon iR Adv C3025/C3025i;Картридж C-EXV54C для Canon 1395C002 голубой;Canon
3174cs;3174;Картридж лазерный CopyRite CR-CAEXV54M C-EXV54 пурпурный (8500стр.) для Canon iR Adv C3025/C3025i;Картридж C-EXV54M для Canon 1396C002 пурпурный;Canon
3175cs;3175;Картридж лазерный CopyRite CR-CAEXV54Y C-EXV54 желтый (8500стр.) для Canon iR Adv C3025/C3025i;Картридж C-EXV54Y для Canon 1397C002 желтый;Canon
3179cs;3179;Картридж лазерный CopyRite CR-XE106R03485C 106R03485 голубой (2400стр.) для Xerox Phaser 6510/WC6515;Картридж 106R03485 для Xerox голубой;Xerox
3180cs;3180;Картридж лазерный CopyRite CR-XE106R03486M 106R03486 пурпурный (2400стр.) для Xerox Phaser 6510/WC6515;Картридж 106R03486 для Xerox пурпурный;Xerox
3181cs;3181;Картридж лазерный CopyRite CR-XE106R03487Y 106R03487 желтый (2400стр.) для Xerox Phaser 6510/WC6515;Картридж 106R03487 для Xerox желтый;Xerox
;3192;Совместимый картридж Colortek 054H Bk;Картридж 054HBK для Canon 3028C002 черный XL ресурс;Canon
;3192;Совместимый картридж NVP 054HBk;Картридж 054HBK для Canon 3028C002 черный XL ресурс;Canon
3192cs;3192;Картридж лазерный G&G GG-C054HBK черный (3100стр.) для Canon LBP 621Cw/ 623Cdw/641Cw/643Cdw;Картридж 054HBK для Canon 3028C002 черный XL ресурс;Canon
;3193;Совместимый картридж Colortek 054H C;Картридж 054HC для Canon 3027C002 голубой XL ресурс;Canon
;3193;Совместимый картридж SuperFine 054HC;Картридж 054HC для Canon 3027C002 голубой XL ресурс;Canon
;3193;Совместимый картридж NVP 054HC;Картридж 054HC для Canon 3027C002 голубой XL ресурс;Canon
3193cs;3193;Картридж лазерный G&G GG-C054HC голубой (2300стр.) для Canon LBP621/623 MF641/643/645;Картридж 054HC для Canon 3027C002 голубой XL ресурс;Canon
3193cs;3193;Картридж лазерный Print-Rite TFCA06CPU1J PR-054H CIAN 054H Cian голубой (2300стр.) для Canon LBP 621Cw/623Cdw/641Cw/643Cdw;Картридж 054HC для Canon 3027C002 голубой XL ресурс;Canon
;3194;Совместимый картридж Colortek 054H M;Картридж 054HM для Canon 3026C002 пурпурный XL ресурс;Canon
;3194;Совместимый картридж SuperFine 054HM;Картридж 054HM для Canon 3026C002 пурпурный XL ресурс;Canon
;3194;Совместимый картридж NVP 054HM;Картридж 054HM для Canon 3026C002 пурпурный XL ресурс;Canon
3194cs;3194;Картридж лазерный G&G GG-C054HM пурпурный (2300стр.) для Canon LBP621/623 MF641/643/645;Картридж 054HM для Canon 3026C002 пурпурный XL ресурс;Canon
3194cs;3194;Картридж лазерный Print-Rite TFCA07MPU1J PR-054H MAGENTA 054H Magenta пурпурный (2300стр.) для Canon LBP 621Cw/623Cdw/641Cw/643Cdw;Картридж 054HM для Canon 3026C002 пурпурный XL ресурс;Canon
;3195;Совместимый картридж Colortek 054H Y;Картридж 054H Y для Canon 3025C002 желтый XL ресурс;Canon
;3195;Совместимый картридж SuperFine 054HY;Картридж 054H Y для Canon 3025C002 желтый XL ресурс;Canon
;3195;Совместимый картридж NVP 054HY;Картридж 054H Y для Canon 3025C002 желтый XL ресурс;Canon
3195cs;3195;Картридж лазерный G&G GG-C054HY желтый (2300стр.) для Canon LBP621/623 MF641/643/645;Картридж 054H Y для Canon 3025C002 желтый XL ресурс;Canon
3195cs;3195;Картридж лазерный Print-Rite TFCA08YPU1J PR-054H YELLOW 054H Yellow желтый (2300стр.) для Canon LBP 621Cw/623Cdw/641Cw/643Cdw;Картридж 054H Y для Canon 3025C002 желтый XL ресурс;Canon
;3196;Набор совместимых картриджей Colortek 054H;Набор картриджей 054H для Canon 3028C002-3025C002 XL ресурс;Canon
3201cs;3201;Картридж лазерный G&G GG-W1103A черный (2500стр.) для HP Neverstop Laser 1000/1200;Картридж W1103A для HP 103A черный с чипом;HP
;3205;Совместимый картридж Colortek CF361A;Картридж CF361A для HP 508A голубой;HP
3205cs;3205;Картридж лазерный G&G GG-CF361A голубой (5000стр.) для HP CLJ M552dn/M553dn/M553N/M553x;Картридж CF361A для HP 508A голубой;HP
3206cs;3206;Картридж лазерный G&G GG-CF362A желтый (5000стр.) для HP CLJ M552dn/M553dn/M553N/M553x;Картридж CF362A для HP 508A желтый;HP
3207cs;3207;Картридж лазерный G&G GG-CF363A пурпурный (5000стр.) для HP CLJ M552dn/M553dn/M553N/M553x;Картридж CF363A для HP 508A пурпурный;HP
;3233;Совместимый картридж SolutionPrint CF259X;Картридж CF259X для HP 59X черный без чипа XL ресурс;HP
;3233;Совместимый картридж Colortek CF259X;Картридж CF259X для HP 59X черный без чипа XL ресурс;HP
;3233;Совместимый картридж Colortek CF259X;Картридж CF259X для HP 59X черный без чипа XL ресурс;HP
;3235;Совместимый Фото картридж Colortek BCI-3ePM;Картридж BCI-3PM для Canon 4484A002 фото-пурпурный;Canon
3237cs;3237;Картридж струйный G&G GG-C13T908140 черный (130мл) для Epson WorkForce Pro WF-6090DW/6090DTWC/6090D2TWC/6590DWF;Картридж T9081 для Epson C13T908140 черный;Epson
3238cs;3238;Картридж струйный G&G GG-C13T908240 голубой (70мл) для Epson WorkForce Pro WF-6090DW/6090DTWC/6090D2TWC/6590DWF;Картридж T9082 для Epson C13T908240 голубой;Epson
3239cs;3239;Картридж струйный G&G GG-C13T908340 пурпурный (70мл) для Epson WorkForce Pro WF-6090DW/6090DTWC/6090D2TWC/6590DWF;Картридж T9083 для Epson C13T908340 пурпурный;Epson
